datadate,year,tic,conm,cik,conml,matched
30sep2004,2004,ASNL,ASANTE TECHNOLOGIES INC,913598.0,Asante Technologies Inc,0
31dec2002,2002,WTLC,COASTCAST CORP,914479.0,Coastcast Corp,0
31dec2003,2003,3ZMBA,ZAMBA CORP,883741.0,Zamba Corp,0
31mar2002,2001,MACR.,MACROMEDIA INC,913949.0,Macromedia Inc.,0
31dec2013,2013,TQNT,TRIQUINT SEMICONDUCTOR INC,913885.0,TriQuint Semiconductor Inc,0
31dec2003,2003,SFFB,SOUTHERN FINANCIAL BANCORP,914789.0,Southern Financial Bancorp Inc,0
31dec2002,2002,SANG,SANGSTAT MEDICAL CORP,913610.0,SangStat Medical Corp,1
31dec2005,2005,TSTRQ,TERRESTAR CORP,913665.0,TerreStar Corp,0
31dec2004,2004,3MKRR,MK RESOURCES CO,913586.0,MK Resources Co,0
30sep2002,2002,FBCI.,FIDELITY BANCORP INC/DE,912219.0,Fidelity Bancorp Inc/DE,0
31mar2015,2014,SPDC,SPEED COMMERCE INC,911650.0,Speed Commerce Inc,0
31aug2001,2001,ODWA,ODWALLA INC,892058.0,Odwalla Inc,0
30sep2014,2014,PLNR,PLANAR SYSTEMS INC,722392.0,Planar Systems Inc,0
31dec2001,2001,PROX.,PROXIM INC,914027.0,Proxim Inc,0
31dec2001,2001,CTA.2,CENTER TRUST INC,,Center Trust Inc.,0
31dec2013,2013,PCC,PMC COMMERCIAL TRUST-OLD,,PMC Commercial Trust-Old,0
31dec2001,2001,XNCP,CITA BIOMEDICAL INC,700890.0,Cita Biomedical Inc,0
31mar2003,2002,SORT,GUNTHER INTERNATIONAL LTD,913600.0,Gunther International Ltd,0
31dec2003,2003,BONZ.,INTERPORE INTERNATIONAL,854093.0,Interpore International Inc,1
31dec2009,2009,NADX,NATIONAL DENTEX CORP,913616.0,National Dentex Corp,0
31dec2003,2003,NBSI,NORTH BANCSHARES INC,912623.0,North Bancshares Inc,0
31dec2002,2002,TFCE,TFC ENTERPRISES INC,913958.0,TFC Enterprises Inc,0
31dec2007,2007,CGI.1,COMMERCE GROUP INC/MA,811612.0,Commerce Group Inc. (The),0
31mar2004,2003,SOL.3,SOLA INTERNATIONAL INC,912088.0,Sola International Inc,0
31dec2003,2003,REPB.1,REPUBLIC BANCSHARES INC,1005501.0,Republic Bancshares Inc,0
31dec2014,2014,CYT.1,CYTEC INDUSTRIES INC,912513.0,Cytec Industries Inc.,1
31dec2004,2004,PRRR,PIONEER RAILCORP  -CL A,796374.0,Pioneer Railcorp,0
30jun2004,2004,QCBC,QUAKER CITY BANCORP INC,912465.0,Quaker City Bancorp Inc,0
31dec2015,2015,3FCBS,FIRST CENTURY BANKSHARES INC,723594.0,First Century Bankshares Inc,0
31dec2001,2001,PTRS.1,POTTERS FINANCIAL CORP,1010476.0,Potters Financial Corp,0
30jun2001,2001,LEDG,LEDGER CAPITAL CORP,910522.0,Ledger Capital Corp,0
31dec2004,2004,FFLC,FFLC BANCORP INC,912738.0,FFLC Bancorp Inc,0
30jun2003,2003,SFFC,STATEFED FINANCIAL CORP,912567.0,StateFed Financial Corp,0
30sep2005,2005,HARB,HARBOR FLORIDA BANCSHARES,1029407.0,Harbor Florida Bancshares Inc,0
31dec2005,2005,FFFL,FIDELITY BANKSHARES INC,1028336.0,Fidelity Bankshares Inc,1
31dec2002,2002,SVTV,SVT INC,914271.0,SVT Inc,0
31dec2001,2001,JPR,JP REALTY INC,,JP Realty Inc,0
31jan2005,2004,CFGI,CROWN FINANCIAL HOLDINGS INC,913781.0,Crown Financial Holdings Inc,0
31dec2004,2004,GBP,GABLES RESIDENTIAL TRUST,913782.0,Gables Residential Trust,1
31dec2013,2013,GRT,GLIMCHER REALTY TRUST,912898.0,Glimcher Realty Trust,1
31dec2014,2014,GLUX,GREAT LAKES AVIATION LTD,914397.0,Great Lakes Aviation Ltd,0
31dec2013,2013,CACB,CASCADE BANCORP,865911.0,Cascade Bancorp,1
30sep2013,2013,TFCO,TUFCO TECHNOLOGIES INC,895329.0,Tufco Technologies Inc,0
31dec2001,2001,CMSB.1,COMMONWEALTH BANCORP INC,1005126.0,Commonwealth Bancorp Inc,0
31dec2004,2004,CGW.3,CRISTALCHILE-CRISTALER CHILE,917335.0,Cristalerias De Chile SA Cristales,0
31dec2003,2003,WYPT,WAYPOINT FINANCIAL CORP,,Waypoint Financial Corp.,0
31mar2016,2015,MCZAF,MAD CATZ INTERACTIVE INC,1088162.0,Mad Catz Interactive Inc.,0
31jan2016,2015,APPD,APPDYNAMICS INC-REDH,1435043.0,APPDYNAMICS INC,0
30sep2012,2012,WRLS.1,TELULAR CORP,915324.0,Telular Corp,0
31dec2005,2005,JAMS,JAMESON INNS INC,914373.0,Jameson Inns Inc,0
30jun2001,2001,SLOT.1,ANCHOR GAMING,914923.0,Anchor Gaming,0
31dec2003,2003,GPT.1,GREENPOINT FINANCIAL CORP,911935.0,Greenpoint Financial Corp.,0
31dec2010,2010,SFN.2,SFN GROUP INC,914536.0,SFN Group Inc,0
30jun2002,2002,3CMGFF,CINTECH SOLUTIONS INC,926038.0,Cintech Solutions Inc,0
30sep2006,2006,MAPS.1,MAPINFO CORP,916238.0,MapInfo Corp,0
31dec2003,2003,SAJFY,SAVIA SA DE CV,917333.0,"Savia SA De CV, Mexico",0
31dec2009,2009,EMAKQ,EMAK WORLDWIDE INC,911151.0,EMAK Worldwide Inc,0
31dec2004,2004,CSCQ,CORRECTIONAL SERVICES CORP,914670.0,Correctional Services Corp,0
31dec2002,2002,BNDT,LAIDLAW GLOBAL CORP,869026.0,Laidlaw Global Corp,0
31mar2003,2002,IGEN.,IGEN INC,916304.0,IGEN International Inc,0
31dec2004,2004,RBMXF,ROBOMATIX TECH LTD  -ORD,914227.0,Robomatix Tech Ltd,0
31dec2004,2004,AML.4,AMLI RESIDENTIAL PPTYS TR,914724.0,AMLI Residential Properties Trust,0
31dec2001,2001,RPIN,ROTARY POWER INTL INC,914539.0,Rotary Power International Inc,0
31dec2003,2003,SMT.2,SUMMIT PROPERTIES INC,915773.0,Summit Properties Inc.,0
31dec2009,2009,MODM,MODERN MEDICAL MODALITIES CP,902635.0,Modern Medical Modalities Corp,0
31dec2007,2007,IFLI.1,IFLI ACQUISITION CORP-OLD,,IFLI Acquisition Corp-Old,0
31mar2010,2009,SNIC,SONIC SOLUTIONS,916235.0,Sonic Solutions,1
31dec2015,2015,HNT,HEALTH NET INC,916085.0,Health Net Inc.,1
31dec2003,2003,TBA.1,TBA ENTERTAINMENT CORP,913201.0,TBA Entertainment Corp,0
30jun2009,2009,NTII,NEUROBIOLOGICAL TECHN INC,918112.0,Neurobiological Technologies Inc,0
31dec2008,2008,HRSH,HIRSCH INTL CORP  -CL A,915909.0,Hirsch International Corp.,0
31dec2012,2012,LMSC,LIVE MICROSYSTEMS INC,915866.0,Live Microsystems Inc,0
31dec2006,2006,ENN,EQUITY INNS INC,916530.0,Equity Inns Inc.,0
31dec2009,2009,FMST,FINISHMASTER INC,917321.0,Finishmaster Inc,0
30jun2005,2005,LFTC,LIFESTREAM TECHNOLOGIES INC,1029738.0,Lifestream Technologies Inc.,0
31dec2001,2001,3STTCE,STRATOSPHERE CORP,1473298.0,Stratosphere Corp,0
31dec2008,2008,NIHK,VIDEO RIVER NETWORKS INC,1084475.0,Video River Networks Inc,0
31mar2016,2015,QLGC,QLOGIC CORP,918386.0,QLogic Corp,1
31oct2004,2004,QDIN,QUALITY DINING INC,917126.0,Quality Dining Inc,0
31dec2006,2006,SUNN,SUNTRON CORP,1160513.0,Suntron Corp,0
31jul2001,2001,3IVCO.,IVC INDUSTRIES INC,916614.0,IVC Industries Inc,0
30jun2011,2011,PHC.3,PHC INC/MA  -CL A,915127.0,PHC Inc,1
31jan2007,2006,PTMK,PATHMARK STORES INC,95585.0,Pathmark Stores Inc,0
31oct2005,2005,NWIR,NWH INC,915016.0,NWH Inc,0
31dec2007,2007,DHOM,DOMINION HOMES INC,917857.0,Dominion Homes Inc,0
31jan2003,2002,3TTXGQ,TRANSTEXAS GAS CORP,904977.0,Transtexas Gas Corp,0
31dec2001,2001,SLAW,UROMED CORP,917821.0,St. Lawrence Energy Corp,0
30jun2002,2002,PXXI,PROPHET 21 INC,917823.0,Prophet 21 Inc,0
31mar2007,2006,RTPRQ,RETAIL PRO INC,866535.0,Retail Pro Inc,0
30jun2015,2015,TW.3,TOWERS WATSON & CO,1470215.0,Towers Watson & Co,1
31dec2002,2002,3PMRE,PRIME RETAIL INC,911708.0,Prime Retail Inc,0
30sep2001,2001,EQSB,EQUITABLE BANK/MD,793495.0,Equitable Bank/MD,0
31dec2001,2001,SUS.2,STORAGE USA INC,912116.0,Storage USA Inc,1
31dec2005,2005,TRBS,TEXAS REGL BCSHS INC  -CL A,787648.0,Texas Regional Bancshares Inc,1
31dec2015,2015,CBRI,CMTSU LIQUIDATION INC,918581.0,CMTSU Liquidation Inc,0
31jan2006,2005,PETC,PETCO ANIMAL SUPPLIES INC,888455.0,PETCO Animal Supplies Inc,0
31mar2002,2001,CMPI.1,COLD METAL PRODUCTS INC,918653.0,Cold Metal Products Ltd.,0
31dec2001,2001,JDN.2,JDN REALTY CORP,916836.0,JDN Realty Corp.,0
31may2009,2008,HSR.1,HI-SHEAR TECHNOLOGY CORP,918027.0,Hi-Shear Technology Corp,0
