cik,conml,year,href
854271,Magnum Hunter Resources Inc.,2004,https://www.sec.gov/Archives/edgar/data/0000854271/000110465905027173/a05-10492_1ex4d2.htm
854271,Magnum Hunter Resources Inc.,2004,https://www.sec.gov/Archives/edgar/data/0000854271/000095013405001322/d21973exv99w1.htm
854271,Magnum Hunter Resources Inc.,2004,https://www.sec.gov/Archives/edgar/data/0000854271/000095013405001597/d22004exv4w3.htm
854271,Magnum Hunter Resources Inc.,2004,https://www.sec.gov/Archives/edgar/data/0000854271/000095013405011286/d26020exv99w2.htm
854271,Magnum Hunter Resources Inc.,2004,https://www.sec.gov/Archives/edgar/data/0000854271/000110465905027173/a05-10492_1ex10d2.htm
854271,Magnum Hunter Resources Inc.,2004,https://www.sec.gov/Archives/edgar/data/0000854271/000110465905027173/a05-10492_1ex10d1.htm
854399,Premier Community Bankshares Inc,2006,https://www.sec.gov/Archives/edgar/data/0000854399/000119312507015378/dex991.htm
854460,Web.com Inc,2006,https://www.sec.gov/Archives/edgar/data/0000854460/000095014407006101/g08119exv99w1.htm
854460,Web.com Inc,2006,https://www.sec.gov/Archives/edgar/data/0000854460/000117091807000633/ex99-1a.htm
854460,Web.com Inc,2006,https://www.sec.gov/Archives/edgar/data/0000854460/000095014407006101/g08119exv2w2.htm
854711,Financial Federal Corp.,2009,https://www.sec.gov/Archives/edgar/data/0000854711/000085471109000073/k8112409merger.pdf
854711,Financial Federal Corp.,2009,https://www.sec.gov/Archives/edgar/data/0000854711/000085471109000069/ex99-1.pdf
854711,Financial Federal Corp.,2009,https://www.sec.gov/Archives/edgar/data/0000854711/000085471109000073/ex2-1.txt
854711,Financial Federal Corp.,2009,https://www.sec.gov/Archives/edgar/data/0000854711/000085471109000073/k8112409merger.txt
854711,Financial Federal Corp.,2009,https://www.sec.gov/Archives/edgar/data/0000854711/000085471109000077/ex99-1.pdf
854711,Financial Federal Corp.,2009,https://www.sec.gov/Archives/edgar/data/0000854711/000085471109000077/ex99-1.txt
854711,Financial Federal Corp.,2009,https://www.sec.gov/Archives/edgar/data/0000854711/000085471109000069/ex99-1.txt
854860,Williams Controls Inc,2012,https://www.sec.gov/Archives/edgar/data/0000854860/000119312512447762/d430807d8k.htm
854860,Williams Controls Inc,2012,https://www.sec.gov/Archives/edgar/data/0000854860/000119312512447762/d430807dex21.htm
854860,Williams Controls Inc,2012,https://www.sec.gov/Archives/edgar/data/0000854860/000119312512506534/d454411d8k.htm
854860,Williams Controls Inc,2012,https://www.sec.gov/Archives/edgar/data/0000854860/000119312512447762/d430807dex991.htm
855574,Ameriana Bancorp,2014,https://www.sec.gov/Archives/edgar/data/0000855574/000119312515239141/d947759dex21.htm
855574,Ameriana Bancorp,2014,https://www.sec.gov/Archives/edgar/data/0000855574/000119312515239141/d947759d8k.htm
855574,Ameriana Bancorp,2014,https://www.sec.gov/Archives/edgar/data/0000855574/000119312515418576/d106302d8k.htm
855574,Ameriana Bancorp,2014,https://www.sec.gov/Archives/edgar/data/0000855574/000119312515239141/d947759dex991.htm
855906,Silicon Storage Technology Inc,2009,https://www.sec.gov/Archives/edgar/data/0000855906/000082705410000098/ex99_1.htm
855906,Silicon Storage Technology Inc,2009,https://www.sec.gov/Archives/edgar/data/0000855906/000119312510020935/dex991.htm
855906,Silicon Storage Technology Inc,2009,https://www.sec.gov/Archives/edgar/data/0000855906/000119312510050051/d8k.htm
855906,Silicon Storage Technology Inc,2009,https://www.sec.gov/Archives/edgar/data/0000855906/000119312510037360/dex991.htm
855906,Silicon Storage Technology Inc,2009,https://www.sec.gov/Archives/edgar/data/0000855906/000119312510058423/dex101.htm
855906,Silicon Storage Technology Inc,2009,https://www.sec.gov/Archives/edgar/data/0000855906/000082705410000098/form8_k.htm
855906,Silicon Storage Technology Inc,2009,https://www.sec.gov/Archives/edgar/data/0000855906/000119312510050051/dex991.htm
855906,Silicon Storage Technology Inc,2009,https://www.sec.gov/Archives/edgar/data/0000855906/000119312510037360/d8k.htm
855906,Silicon Storage Technology Inc,2009,https://www.sec.gov/Archives/edgar/data/0000855906/000119312510050051/dex23.htm
855906,Silicon Storage Technology Inc,2009,https://www.sec.gov/Archives/edgar/data/0000855906/000119312510020935/dex21.htm
855906,Silicon Storage Technology Inc,2009,https://www.sec.gov/Archives/edgar/data/0000855906/000119312510037360/dex22.htm
856072,Procyte Corp,2003,https://www.sec.gov/Archives/edgar/data/0000856072/000110465904038480/a04-14433_18k.htm
856072,Procyte Corp,2003,https://www.sec.gov/Archives/edgar/data/0000856072/000110465904038480/a04-14433_1ex99d2.htm
856386,Gehl Co,2007,https://www.sec.gov/Archives/edgar/data/0000856386/000119312508212790/d8k.htm
856386,Gehl Co,2007,https://www.sec.gov/Archives/edgar/data/0000856386/000119312508217108/d8k.htm
856386,Gehl Co,2007,https://www.sec.gov/Archives/edgar/data/0000856386/000119312508194639/dex41.htm
856386,Gehl Co,2007,https://www.sec.gov/Archives/edgar/data/0000856386/000119312508194639/d8k.htm
857593,Community First Bankshares Inc,2003,https://www.sec.gov/Archives/edgar/data/0000857593/000110465904007530/a04-3527_18k.htm
857593,Community First Bankshares Inc,2003,https://www.sec.gov/Archives/edgar/data/0000857593/000110465904007530/a04-3527_1ex99d1.htm
857644,TEPPCO Partners LP,2008,https://www.sec.gov/Archives/edgar/data/0000857644/000095012309054274/h68315e8vk.htm
857644,TEPPCO Partners LP,2008,https://www.sec.gov/Archives/edgar/data/0000857644/000095012309052854/h68290e8vk.htm
857644,TEPPCO Partners LP,2008,https://www.sec.gov/Archives/edgar/data/0000857644/000095012309018768/h67310exv2w1.htm
857644,TEPPCO Partners LP,2008,https://www.sec.gov/Archives/edgar/data/0000857644/000095012309018768/h67310e8vk.htm
857644,TEPPCO Partners LP,2008,https://www.sec.gov/Archives/edgar/data/0000857644/000095012309054274/h68315exv99w1.htm
857644,TEPPCO Partners LP,2008,https://www.sec.gov/Archives/edgar/data/0000857644/000095012309018768/h67310exv2w2.htm
857644,TEPPCO Partners LP,2008,https://www.sec.gov/Archives/edgar/data/0000857644/000085764409000042/exhibit99_1.htm
857644,TEPPCO Partners LP,2008,https://www.sec.gov/Archives/edgar/data/0000857644/000095012309054274/h68315exv3w2.htm
857644,TEPPCO Partners LP,2008,https://www.sec.gov/Archives/edgar/data/0000857644/000095012309018768/h67310exv10w1.htm
